index,time,phase,station,probability
"(2024000260, 2025)","('2024-03-20T02:17:48.710000Z', '2024-03-20T02:17:48.710000Z')",P,PURA,"(1.0, 0.89333427)"
"(2024000260, 2026)","('2024-03-20T02:17:49.590000Z', '2024-03-20T02:17:49.620000Z')",S,PURA,"(1.0, 0.8766139)"
"(2024000260, 2183)","('2024-03-20T02:17:49.870000Z', '2024-03-20T02:17:49.870000Z')",P,CSM,"(1.0, 0.88955104)"
"(2024000260, 2177)","('2024-03-20T02:17:50.230000Z', '2024-03-20T02:17:50.230000Z')",P,CLUD,"(1.0, 0.82959133)"
"(2024000260, 1966)","('2024-03-20T02:17:50.280000Z', '2024-03-20T02:17:50.360000Z')",P,STAL,"(1.0, 0.60808563)"
"(2024000260, 2168)","('2024-03-20T02:17:51.090000Z', '2024-03-20T02:17:51.010000Z')",P,CIMO,"(1.0, 0.57197785)"
"(2024000260, 1711)","('2024-03-20T02:17:51.530000Z', '2024-03-20T02:17:51.480000Z')",P,FVI,"(1.0, 0.8001002)"
"(2024000260, 2184)","('2024-03-20T02:17:51.770000Z', '2024-03-20T02:17:51.790000Z')",S,CSM,"(1.0, 0.82443064)"
"(2024000260, 2178)","('2024-03-20T02:17:52.580000Z', '2024-03-20T02:17:52.580000Z')",S,CLUD,"(1.0, 0.670632)"
"(2024000260, 2169)","('2024-03-20T02:17:54.040000Z', '2024-03-20T02:17:54.220000Z')",S,CIMO,"(1.0, 0.3538238)"
"(2024000260, 1712)","('2024-03-20T02:17:54.450000Z', '2024-03-20T02:17:54.610000Z')",S,FVI,"(1.0, 0.6719333)"
"(2024000261, 1651)","('2024-03-20T10:24:46.100000Z', '2024-03-20T10:24:46.120000Z')",P,BRMO,"(1.0, 0.8636677)"
"(2024000261, 1652)","('2024-03-20T10:24:48.130000Z', '2024-03-20T10:24:48.180000Z')",S,BRMO,"(1.0, 0.85434175)"
"(2024000261, 4054)","('2024-03-20T10:24:48.550000Z', '2024-03-20T10:24:48.490000Z')",P,CARE,"(1.0, 0.14391394)"
"(2024000262, 3882)","('2024-03-20T22:48:17.780000Z', '2024-03-20T22:48:17.760000Z')",P,JAVS,"(1.0, 0.8718714)"
"(2024000262, 3841)","('2024-03-20T22:48:19.250000Z', '2024-03-20T22:48:19.260000Z')",P,GBAS,"(1.0, 0.7910108)"
"(2024000262, 3788)","('2024-03-20T22:48:19.330000Z', '2024-03-20T22:48:19.290000Z')",P,CEY,"(1.0, 0.70495224)"
