index,time,phase,station,probability
2024000260,2024-03-20T02:17:52.410000Z,S,STAL,1.0
2024000261,2024-03-20T10:24:50.030000Z,P,MOSI,1.0
2024000261,2024-03-20T10:24:52.480000Z,S,CARE,1.0
2024000261,2024-03-20T10:24:55.070000Z,S,MOSI,1.0
2024000262,2024-03-20T22:48:21.240000Z,P,KNDS,1.0
2024000263,2024-03-21T02:43:28.000000Z,P,RONC,1.0
2024000266,2024-03-22T13:44:45.350000Z,P,ROBS,1.0
2024000266,2024-03-22T13:44:48.460000Z,S,ROBS,1.0
2024000271,2024-03-24T23:43:35.950000Z,S,MLN,1.0
2024000271,2024-03-24T23:43:36.720000Z,S,PURA,1.0
2024000275,2024-03-25T07:04:42.000000Z,P,VOJS,1.0
2024000275,2024-03-25T07:04:47.460000Z,S,GORS,1.0
2024000278,2024-03-25T17:19:31.940000Z,P,DRE,1.0
2024000278,2024-03-25T17:19:35.740000Z,S,DRE,1.0
2024000279,2024-03-25T21:51:41.560000Z,P,BAD,1.0
2024000279,2024-03-25T21:51:42.100000Z,P,LSR,1.0
2024000279,2024-03-25T21:51:43.600000Z,P,GORS,1.0
2024000279,2024-03-25T21:51:44.790000Z,S,BAD,1.0
2024000279,2024-03-25T21:51:46.040000Z,S,LSR,1.0
2024000279,2024-03-25T21:51:48.680000Z,S,GORS,1.0
2024000280,2024-03-27T10:35:44.830000Z,P,MPRI,1.0
2024000281,2024-03-27T12:10:34.340000Z,S,DRE,1.0
2024000282,2024-03-27T16:36:14.120000Z,P,VOJS,1.0
2024000282,2024-03-27T16:36:19.970000Z,S,VOJS,1.0
2024000283,2024-03-27T21:19:46.860000Z,S,MLN,1.0
2024000283,2024-03-27T21:19:53.220000Z,P,ZIAN,1.0
2024000283,2024-03-27T21:19:53.890000Z,S,ROBS,1.0
2024000283,2024-03-27T21:19:54.680000Z,P,IESO,1.0
2024000283,2024-03-27T21:19:55.910000Z,P,KOSI,1.0
2024000283,2024-03-27T21:19:57.440000Z,P,PANI,1.0
2024000283,2024-03-27T21:19:57.940000Z,P,SKDS,1.0
2024000283,2024-03-27T21:19:58.530000Z,P,GBAS,1.0
2024000283,2024-03-27T21:19:58.800000Z,P,LJU,1.0
2024000283,2024-03-27T21:19:59.900000Z,P,OZOL,1.0
2024000283,2024-03-27T21:19:59.990000Z,P,CEY,1.0
2024000283,2024-03-27T21:20:00.360000Z,P,DOSS,1.0
2024000283,2024-03-27T21:20:00.900000Z,P,VNDS,1.0
2024000283,2024-03-27T21:20:01.450000Z,P,KNDS,1.0
2024000283,2024-03-27T21:20:01.660000Z,S,SABO,1.0
2024000283,2024-03-27T21:20:01.820000Z,P,TEOL,1.0
2024000283,2024-03-27T21:20:02.220000Z,P,MARN,1.0
2024000283,2024-03-27T21:20:02.240000Z,P,GAGG,1.0
2024000283,2024-03-27T21:20:02.580000Z,P,LUSI,1.0
2024000283,2024-03-27T21:20:04.120000Z,P,ADRI,1.0
2024000283,2024-03-27T21:20:04.460000Z,S,MTLO,1.0
2024000283,2024-03-27T21:20:06.190000Z,S,GORS,1.0
2024000284,2024-03-27T21:24:37.390000Z,P,FUSE,1.0
2024000284,2024-03-27T21:24:38.420000Z,P,CSM,1.0
2024000284,2024-03-27T21:24:39.080000Z,P,GEPF,1.0
2024000284,2024-03-27T21:24:41.400000Z,S,CSM,1.0
2024000285,2024-03-27T21:34:06.460000Z,P,MPRI,1.0
2024000285,2024-03-27T21:34:09.300000Z,P,PLRO,1.0
2024000285,2024-03-27T21:34:12.550000Z,S,BUA,1.0
2024000286,2024-03-27T21:45:56.220000Z,P,VARN,1.0
2024000286,2024-03-27T21:46:02.300000Z,P,ZIAN,1.0
2024000286,2024-03-27T21:46:02.370000Z,P,CTI,1.0
2024000286,2024-03-27T21:46:03.920000Z,P,TRI,1.0
2024000287,2024-03-27T21:56:47.270000Z,P,ABTA,1.0
2024000287,2024-03-27T21:56:53.240000Z,S,ABTA,1.0
2024000288,2024-03-27T21:58:00.110000Z,P,CLUD,1.0
2024000288,2024-03-27T21:58:01.450000Z,P,BOO,1.0
2024000288,2024-03-27T21:58:01.670000Z,P,CSM,1.0
2024000288,2024-03-27T21:58:02.430000Z,S,STAL,1.0
2024000288,2024-03-27T21:58:04.640000Z,S,BOO,1.0
2024000288,2024-03-27T21:58:04.910000Z,S,CSM,1.0
2024000289,2024-03-27T22:14:48.120000Z,P,STAL,1.0
2024000289,2024-03-27T22:14:48.180000Z,P,CLUD,1.0
2024000289,2024-03-27T22:14:49.210000Z,P,FUSE,1.0
