NETWORK,station,LOC_NAME,CHANNEL,DATE,FILENAME
IV,SAL,,EHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.SAL..EHN__20240320T000000Z__20240321T000000Z.mseed
OX,CSM,,HHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.CSM..HHE__20240320T021651Z__20240320T021851Z.mseed
ST,CARE,,EHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/ST.CARE..EHE__20240320T000000Z__20240321T000000Z.mseed
IV,MNTV,,EHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.MNTV..EHN__20240320T000000Z__20240321T000000Z.mseed
CH,BERNI,,HHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/CH.BERNI..HHZ__20240320T000000Z__20240321T000000Z.mseed
IV,SERM,,EHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.SERM..EHZ__20240320T000000Z__20240321T000000Z.mseed
OX,BAD,,HHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.BAD..HHE__20240320T000000Z__20240321T000000Z.mseed
ST,RONC,,EHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/ST.RONC..EHE__20240320T101724Z__20240320T101924Z.mseed
OX,IESO,,EHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.IESO..EHE__20240320T000000Z__20240321T000000Z.mseed
OX,GAZZ,,EHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.GAZZ..EHZ__20240320T000000Z__20240321T000000Z.mseed
NI,PURA,,HHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/NI.PURA..HHZ__20240320T021648Z__20240320T021848Z.mseed
OX,CLUD,,HHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.CLUD..HHN__20240320T000000Z__20240321T000000Z.mseed
OX,TRES,,EHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.TRES..EHN__20240320T000000Z__20240321T000000Z.mseed
2Y,A302A,,HHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/2Y.A302A..HHE__20240320T000000Z__20240321T000000Z.mseed
SL,SKDS,,HHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/SL.SKDS..HHE__20240320T000000Z__20240321T000000Z.mseed
ZO,PDN2,,EHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/ZO.PDN2..EHN__20240320T000000Z__20240321T000000Z.mseed
RF,PRAD,,HNZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/RF.PRAD..HNZ__20240320T000000Z__20240321T000000Z.mseed
RF,PALM,,HNZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/RF.PALM..HNZ__20240320T000000Z__20240321T000000Z.mseed
ST,ZIAN,,EHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/ST.ZIAN..EHZ__20240320T000000Z__20240321T000000Z.mseed
CH,SZER,,HGE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/CH.SZER..HGE__20240320T000000Z__20240321T000000Z.mseed
CH,SDAK,,HGZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/CH.SDAK..HGZ__20240320T000000Z__20240321T000000Z.mseed
ST,RONC,,EHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/ST.RONC..EHN__20240320T101741Z__20240320T101941Z.mseed
IV,CAVE,,HHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.CAVE..HHZ__20240320T000000Z__20240321T000000Z.mseed
OX,CLUD,,HHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.CLUD..HHE__20240320T021652Z__20240320T021852Z.mseed
SL,CADS,,HHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/SL.CADS..HHE__20240320T000000Z__20240321T000000Z.mseed
RF,GESC,,HNE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/RF.GESC..HNE__20240320T000000Z__20240321T000000Z.mseed
EV,ED06,01,HHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/EV.ED06.01.HHZ__20240320T000000Z__20240321T000000Z.mseed
OX,CEKR,,EHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.CEKR..EHZ__20240320T000000Z__20240321T000000Z.mseed
OE,LESA,,HHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OE.LESA..HHZ__20240320T000000Z__20240321T000000Z.mseed
IV,MDI,,HHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.MDI..HHE__20240320T000000Z__20240321T000000Z.mseed
OX,PLRO,,HHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.PLRO..HHN__20240320T000000Z__20240321T000000Z.mseed
SL,LJU,,HHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/SL.LJU..HHN__20240320T000000Z__20240321T000000Z.mseed
IV,SGAL,,EHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.SGAL..EHN__20240320T000000Z__20240321T000000Z.mseed
SL,KNDS,,HHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/SL.KNDS..HHN__20240320T000000Z__20240321T000000Z.mseed
OX,MARN,,HHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.MARN..HHE__20240320T101719Z__20240320T101919Z.mseed
