idx_in_group,time,latitude,longitude,depth,azimuthal_gap,min_distance,vertical_uncertainty,number_picks,number_picks_nll,std_nll,max_horizontal_uncertainty,min_horizontal_uncertainty,group,magnitude,gamma_sigma_time,gamma_sigma_amp,gamma_cov_time_amp,gamma_score,number_p_picks,number_s_picks,number_p_and_s_picks,ML,ML_median,ML_unc,ML_stations,idx
10,2024-03-20 02:17:46.988576+00:00,46.407136,12.688513,5.474219,105.794,4.60241,2.759155522981624,18,18,0.219957,1.16233,0.655873,2024-03-20,999,0.1900860210212851,0,0,18.0,9,9,9,0.4688977695772185,0.40785383781021056,0.09288731321104948,8,0
8,2024-03-20 02:26:31.301522+00:00,45.721998,14.09383,2.985938,155.475,19.2186,8.951572319989378,6,6,0.0540446,7.14687,4.83728,2024-03-20,999,0.024947602100752555,0,0,6.0,3,3,3,-0.09507836051335716,-0.09507836051335716,0.11605891449850181,2,1
5,2024-03-20 02:48:07.216399+00:00,45.533885,14.682397,18.298438,176.732,10.0007,5.79255329712209,12,12,0.288806,4.69144,2.22469,2024-03-20,999,0.7190706773509166,0,0,12.78694040351586,8,4,3,0.8081258756818569,0.8210482857801977,0.0590400020428196,3,2
0,2024-03-20 09:24:00.152763+00:00,45.747836,14.063475,12.709375,170.483,16.2042,9.872117857886423,8,8,0.153328,3.42905,1.72408,2024-03-20,999,0.2279611563327233,0,0,8.0,4,4,3,0.34595173217778674,0.34595173217778674,0.004050463852375064,2,3
9,2024-03-20 09:43:59.878131+00:00,46.24997,12.928213,4.019531,197.263,0.641435,2.3979855504151812,6,6,0.0645584,4.62282,0.765003,2024-03-20,999,0.05823692278917051,0,0,6.0,3,3,3,0.1705409189183872,0.27701842403813326,0.1564800600411942,3,4
13,2024-03-20 12:00:20.193338+00:00,45.458181,14.30686,11.254688,215.136,9.67021,3.9528401055443667,9,9,0.166723,4.74971,1.62549,2024-03-20,999,0.44239605685481104,0,0,9.0,6,3,3,1.1340130292349109,1.2413609122294655,0.15402767106283496,3,5
2,2024-03-20 13:29:43.397386+00:00,45.584205,10.328704,3.292187,163.437,2.69329,8.840925630271979,7,7,0.128434,7.90381,4.80934,2024-03-20,999,0.1838707422515947,0,0,7.0,4,3,3,0.8336187217023164,0.8130483426095796,0.13965650883111794,3,6
11,2024-03-20 16:21:31.230263+00:00,44.630491,10.213583,22.432813,170.786,9.68927,7.034629414546298,8,8,0.218766,4.70021,2.43375,2024-03-20,999,0.2372445014813849,0,0,8.0,4,4,4,2.483761727635921,2.390319364223371,0.09754970021185685,3,7
7,2024-03-20 17:05:17.374788+00:00,46.461613,12.770898,0.038281,92.4705,4.56566,3.935208113937559,10,10,0.122478,1.80044,0.817261,2024-03-20,999,0.2931831425219877,0,0,9.068028014367902,5,5,5,0.24572833162747357,0.37010402369322315,0.19836843189303074,5,8
14,2024-03-20 20:54:24.780154+00:00,45.662095,10.766097,2.737109,163.251,3.79485,2.095261272490856,12,12,0.116986,1.09019,0.549666,2024-03-20,999,0.10919447901343166,0,0,12.0,6,6,6,0.5288195234273746,0.48484965964945675,0.06703363057035296,6,9
