index,time,phase,station,probability
2024000261,2024-03-20 10:24:48.960,P,FUOR,1.0
2024000261,2024-03-20 10:24:54.800,P,VDL,1.0
2024000261,2024-03-20 10:25:03.070,S,VDL,1.0
2024000283,2024-03-27 21:19:48.440,P,A300,1.0
2024000283,2024-03-27 21:19:54.980,P,SAVD,1.0
2024000283,2024-03-27 21:19:58.690,S,A300,1.0
2024000283,2024-03-27 21:20:05.280,P,SOKA,1.0
2024000283,2024-03-27 21:20:05.820,P,RIY,1.0
2024000283,2024-03-27 21:20:09.570,P,DOBS,1.0
2024000283,2024-03-27 21:20:10.200,P,FUOR,1.0
2024000283,2024-03-27 21:20:10.830,P,BOJS,1.0
2024000283,2024-03-27 21:20:12.710,P,BERN,1.0
2024000283,2024-03-27 21:20:16.410,P,LMD,1.0
2024000283,2024-03-27 21:20:19.080,P,TUE,1.0
2024000283,2024-03-27 21:20:22.380,P,MUGI,1.0
2024000286,2024-03-27 21:46:14.840,P,SOKA,1.0
2024000286,2024-03-27 21:46:18.510,P,FUOR,1.0
2024000286,2024-03-27 21:46:19.570,P,BOJS,1.0
2024000306,2024-03-28 02:36:26.230,P,A300,1.0
2024000306,2024-03-28 02:36:44.790,P,SOKA,1.0
2024000306,2024-03-28 02:36:48.580,P,FUOR,1.0
2024000327,2024-03-28 20:12:02.220,P,TUE,1.0
2024000333,2024-03-29 03:46:58.080,P,SAVD,1.0
2024000333,2024-03-29 03:47:11.690,P,FUOR,1.0
2024000348,2024-03-31 01:57:07.260,P,FUOR,1.0
2024000360,2024-04-01 15:08:15.780,P,SAVD,1.0
2024000361,2024-04-01 20:07:36.940,P,BOJS,1.0
2024000363,2024-04-02 03:36:28.900,P,SAVD,1.0
2024000363,2024-04-02 03:36:38.550,P,SOKA,1.0
2024000363,2024-04-02 03:36:41.780,S,SAVD,1.0
2024000363,2024-04-02 03:36:42.170,P,FUOR,1.0
2024000389,2024-04-07 03:10:44.470,P,BOJS,1.0
2024000396,2024-04-08 05:19:24.250,P,BERN,1.0
2024000396,2024-04-08 05:19:26.790,P,MUGI,1.0
2024000396,2024-04-08 05:19:35.850,S,BERN,1.0
2024000396,2024-04-08 05:19:40.710,S,MUGI,1.0
2024000397,2024-04-08 11:09:27.780,P,FUOR,1.0
2024000397,2024-04-08 11:09:30.340,S,FUOR,1.0
2024000397,2024-04-08 11:09:31.600,P,BERN,1.0
2024000397,2024-04-08 11:09:33.070,P,DAVO,1.0
2024000397,2024-04-08 11:09:36.790,S,BERN,1.0
2024000397,2024-04-08 11:09:39.540,S,DAVO,1.0
2024000400,2024-04-09 07:05:10.780,P,FUOR,1.0
2024000400,2024-04-09 07:05:13.380,S,FUOR,1.0
2024000400,2024-04-09 07:05:14.430,P,BERN,1.0
2024000400,2024-04-09 07:05:19.960,S,BERN,1.0
2024000407,2024-04-10 07:13:14.480,P,FUOR,1.0
2024000407,2024-04-10 07:13:17.070,S,FUOR,1.0
2024000407,2024-04-10 07:13:20.270,P,DAVO,1.0
2024000407,2024-04-10 07:13:26.430,S,DAVO,1.0
2024000413,2024-04-11 04:33:05.480,P,BOJS,1.0
2024000413,2024-04-11 04:33:15.440,S,BOJS,1.0
2024000416,2024-04-11 12:24:43.210,P,BOJS,1.0
2024000416,2024-04-11 12:24:53.260,S,BOJS,1.0
2024000417,2024-04-11 17:28:08.590,P,FUOR,1.0
2024000417,2024-04-11 17:28:18.310,S,FUOR,1.0
2024000420,2024-04-11 23:48:16.660,P,BOJS,1.0
2024000420,2024-04-11 23:48:27.480,S,BOJS,1.0
2024000421,2024-04-12 12:55:36.490,P,LMD,1.0
2024000424,2024-04-13 05:07:32.070,P,FUOR,1.0
2024000429,2024-04-13 15:47:06.690,P,MUGI,1.0
2024000429,2024-04-13 15:47:08.970,P,TUE,1.0
