idx,longitude,latitude,depth,NETWORK,station,NC,SC
2Y.A300A.,13.128,45.8193,6.0,2Y,A300A,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)"
2Y.A301A.,12.621,45.6198,2.0,2Y,A301A,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)"
2Y.A302A.,11.9713,45.6335,31.0,2Y,A302A,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)"
2Y.A303A.,12.3182,45.3443,11.0,2Y,A303A,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)"
4P.IT07A.,9.836959,44.873936,182.0,4P,IT07A,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","(0.8901960784313725, 0.10196078431372549, 0.10980392156862745, 1.0)"
4P.IT08A.,12.069651,44.983948,60.0,4P,IT08A,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","(0.8901960784313725, 0.10196078431372549, 0.10980392156862745, 1.0)"
4P.IT09A.,11.435935,44.660509,45.0,4P,IT09A,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","(0.8901960784313725, 0.10196078431372549, 0.10980392156862745, 1.0)"
CH.BERNI.,10.023095,46.413636,2311.0,CH,BERNI,"(0.12156862745098039, 0.47058823529411764, 0.7058823529411765, 1.0)","(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)"
CH.DAVOX.,9.87952,46.7805,1830.0,CH,DAVOX,"(0.12156862745098039, 0.47058823529411764, 0.7058823529411765, 1.0)","(0.2, 0.6274509803921569, 0.17254901960784313, 1.0)"
CH.FUORN.,10.263551,46.620334,2286.0,CH,FUORN,"(0.12156862745098039, 0.47058823529411764, 0.7058823529411765, 1.0)","(0.984313725490196, 0.6039215686274509, 0.6, 1.0)"
CH.SARD.,10.204926,46.776631,1487.5,CH,SARD,"(0.12156862745098039, 0.47058823529411764, 0.7058823529411765, 1.0)","(0.41568627450980394, 0.23921568627450981, 0.6039215686274509, 1.0)"
CH.SBGN.,9.748359,46.628162,1374.4,CH,SBGN,"(0.12156862745098039, 0.47058823529411764, 0.7058823529411765, 1.0)","(0.41568627450980394, 0.23921568627450981, 0.6039215686274509, 1.0)"
CH.SCEL.,9.85542,46.5074,1720.0,CH,SCEL,"(0.12156862745098039, 0.47058823529411764, 0.7058823529411765, 1.0)","(0.41568627450980394, 0.23921568627450981, 0.6039215686274509, 1.0)"
CH.SCHK.,9.536332,46.788912,1208.7,CH,SCHK,"(0.12156862745098039, 0.47058823529411764, 0.7058823529411765, 1.0)","(0.41568627450980394, 0.23921568627450981, 0.6039215686274509, 1.0)"
CH.SCUC.,10.3038,46.798,1230.0,CH,SCUC,"(0.12156862745098039, 0.47058823529411764, 0.7058823529411765, 1.0)","(0.41568627450980394, 0.23921568627450981, 0.6039215686274509, 1.0)"
CH.SCUG.,9.523831,46.856125,575.0,CH,SCUG,"(0.12156862745098039, 0.47058823529411764, 0.7058823529411765, 1.0)","(0.41568627450980394, 0.23921568627450981, 0.6039215686274509, 1.0)"
CH.SDAK.,9.832,46.80054,1548.0,CH,SDAK,"(0.12156862745098039, 0.47058823529411764, 0.7058823529411765, 1.0)","(0.41568627450980394, 0.23921568627450981, 0.6039215686274509, 1.0)"
CH.SHEK.,9.6279638,47.4157026,404.0,CH,SHEK,"(0.12156862745098039, 0.47058823529411764, 0.7058823529411765, 1.0)","(0.41568627450980394, 0.23921568627450981, 0.6039215686274509, 1.0)"
CH.SMFL.,9.54632,47.21004,441.0,CH,SMFL,"(0.12156862745098039, 0.47058823529411764, 0.7058823529411765, 1.0)","(0.41568627450980394, 0.23921568627450981, 0.6039215686274509, 1.0)"
CH.STRW.,9.55025,47.11655,1031.0,CH,STRW,"(0.12156862745098039, 0.47058823529411764, 0.7058823529411765, 1.0)","(1.0, 1.0, 0.6, 1.0)"
CH.STSP.,10.33317,46.62645,1690.0,CH,STSP,"(0.12156862745098039, 0.47058823529411764, 0.7058823529411765, 1.0)","(1.0, 1.0, 0.6, 1.0)"
CH.SVAM.,9.526099,46.693377,1227.0,CH,SVAM,"(0.12156862745098039, 0.47058823529411764, 0.7058823529411765, 1.0)","(1.0, 1.0, 0.6, 1.0)"
CH.SZER.,10.09768,46.69749,1471.0,CH,SZER,"(0.12156862745098039, 0.47058823529411764, 0.7058823529411765, 1.0)","(1.0, 1.0, 0.6, 1.0)"
EV.ED06.,12.2085,45.857,174.0,EV,ED06,"(0.12156862745098039, 0.47058823529411764, 0.7058823529411765, 1.0)","(0.2, 0.6274509803921569, 0.17254901960784313, 1.0)"
GU.GRAM.,10.065,44.4904,844.0,GU,GRAM,"(0.6980392156862745, 0.8745098039215686, 0.5411764705882353, 1.0)","(0.984313725490196, 0.6039215686274509, 0.6, 1.0)"
GU.GSCL.,10.588,44.3506,650.0,GU,GSCL,"(0.6980392156862745, 0.8745098039215686, 0.5411764705882353, 1.0)","(0.984313725490196, 0.6039215686274509, 0.6, 1.0)"
HA.CHIE.,12.7376,46.2557,399.0,HA,CHIE,"(0.2, 0.6274509803921569, 0.17254901960784313, 1.0)","(0.6980392156862745, 0.8745098039215686, 0.5411764705882353, 1.0)"
HA.INVI.,12.9008,46.4011,350.0,HA,INVI,"(0.2, 0.6274509803921569, 0.17254901960784313, 1.0)","(0.8901960784313725, 0.10196078431372549, 0.10980392156862745, 1.0)"
HA.TARV.,13.568,46.5074,812.0,HA,TARV,"(0.2, 0.6274509803921569, 0.17254901960784313, 1.0)","(1.0, 1.0, 0.6, 1.0)"
IT.ALF.,12.0334,44.5022,6.0,IT,ALF,"(0.2, 0.6274509803921569, 0.17254901960784313, 1.0)","(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)"
IT.APR.,10.1577,46.1562,1203.0,IT,APR,"(0.2, 0.6274509803921569, 0.17254901960784313, 1.0)","(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)"
IT.ARG.,11.8251,44.6306,45.0,IT,ARG,"(0.2, 0.6274509803921569, 0.17254901960784313, 1.0)","(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)"
IT.AVI.,12.6023,46.0643,210.0,IT,AVI,"(0.2, 0.6274509803921569, 0.17254901960784313, 1.0)","(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)"
IT.AVS.,13.0497,46.2946,256.0,IT,AVS,"(0.2, 0.6274509803921569, 0.17254901960784313, 1.0)","(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)"
